2026-01-19T22:33:06.467290 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:33:06.951643 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:33:06.951740 | INFO     | wrapper      | Starting MCP Server on localhost:8775
2026-01-19T22:33:07.445272 | INFO     | wrapper      | Server lifespan started
2026-01-19T22:33:07.447500 | INFO     | session_manager | Initialized session manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:33:07.447575 | INFO     | resource_manager | Initialized resource manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:33:07.447614 | INFO     | wrapper      | Initialized MicrosandboxWrapper with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:33:07.447646 | INFO     | wrapper      | Starting MicrosandboxWrapper
2026-01-19T22:33:07.447684 | INFO     | session_manager | Started session manager cleanup task
2026-01-19T22:33:07.447781 | INFO     | resource_manager | Started resource manager orphan cleanup task
2026-01-19T22:33:07.447884 | INFO     | wrapper      | MicrosandboxWrapper started successfully
2026-01-19T22:33:07.448460 | INFO     | wrapper      | Wrapper initialized
2026-01-19T22:33:07.452247 | INFO     | session_manager | Started session cleanup loop with interval 60s, session timeout 180s
2026-01-19T22:33:07.452438 | INFO     | resource_manager | Started orphan cleanup loop with interval 60s
2026-01-19T22:33:07.461198 | INFO     | wrapper      | Server lifespan ending
2026-01-19T22:33:07.461521 | INFO     | session_manager | Session cleanup loop cancelled after 0 cycles
2026-01-19T22:33:07.461619 | INFO     | resource_manager | Orphan cleanup loop cancelled after 0 cycles (total orphans cleaned: 0)
2026-01-19T22:33:07.463039 | INFO     | wrapper      | Starting emergency synchronous shutdown
2026-01-19T22:33:07.463160 | INFO     | wrapper      | No event loop detected, running full emergency shutdown
2026-01-19T22:33:07.463406 | INFO     | wrapper      | Starting graceful shutdown with 10.0s timeout
2026-01-19T22:33:07.463568 | INFO     | resource_manager | Stopping resource manager
2026-01-19T22:33:07.463641 | INFO     | resource_manager | Resource manager stopped
2026-01-19T22:33:07.463683 | INFO     | session_manager | Stopping session manager
2026-01-19T22:33:07.463722 | INFO     | session_manager | Session manager stopped in 0.00s
2026-01-19T22:33:07.463819 | INFO     | wrapper      | Graceful shutdown completed: status=success, duration=0.00s, components_stopped=2/2
2026-01-19T22:33:08.019077 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:33:08.287537 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:33:08.287852 | INFO     | wrapper      | Starting MCP Server on localhost:8775
2026-01-19T22:33:08.303134 | INFO     | wrapper      | Server lifespan started
2026-01-19T22:33:08.305297 | INFO     | session_manager | Initialized session manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:33:08.305368 | INFO     | resource_manager | Initialized resource manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:33:08.305403 | INFO     | wrapper      | Initialized MicrosandboxWrapper with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:33:08.305428 | INFO     | wrapper      | Starting MicrosandboxWrapper
2026-01-19T22:33:08.305458 | INFO     | session_manager | Started session manager cleanup task
2026-01-19T22:33:08.305495 | INFO     | resource_manager | Started resource manager orphan cleanup task
2026-01-19T22:33:08.305520 | INFO     | wrapper      | MicrosandboxWrapper started successfully
2026-01-19T22:33:08.306006 | INFO     | wrapper      | Wrapper initialized
2026-01-19T22:33:08.308003 | INFO     | session_manager | Started session cleanup loop with interval 60s, session timeout 180s
2026-01-19T22:33:08.308125 | INFO     | resource_manager | Started orphan cleanup loop with interval 60s
2026-01-19T22:33:08.313924 | INFO     | wrapper      | Server lifespan ending
2026-01-19T22:33:08.314165 | INFO     | resource_manager | Orphan cleanup loop cancelled after 0 cycles (total orphans cleaned: 0)
2026-01-19T22:33:08.314208 | INFO     | session_manager | Session cleanup loop cancelled after 0 cycles
2026-01-19T22:33:08.315441 | INFO     | wrapper      | Starting emergency synchronous shutdown
2026-01-19T22:33:08.315494 | INFO     | wrapper      | No event loop detected, running full emergency shutdown
2026-01-19T22:33:08.315644 | INFO     | wrapper      | Starting graceful shutdown with 10.0s timeout
2026-01-19T22:33:08.315719 | INFO     | resource_manager | Stopping resource manager
2026-01-19T22:33:08.315796 | INFO     | resource_manager | Resource manager stopped
2026-01-19T22:33:08.315841 | INFO     | session_manager | Stopping session manager
2026-01-19T22:33:08.315874 | INFO     | session_manager | Session manager stopped in 0.00s
2026-01-19T22:33:08.315971 | INFO     | wrapper      | Graceful shutdown completed: status=success, duration=0.00s, components_stopped=2/2
2026-01-19T22:36:19.718092 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
